month,stock_code,top_risk_score,rank_in_topn
2025-07,302132,2.090456251516808,1
2025-07,600547,0.6480235015372833,2
2025-07,601009,0.609197018532654,3
2025-07,601336,0.5950530093895838,4
2025-07,603986,0.5843906859804817,5
2025-07,600039,0.5387498411993203,6
2025-07,601077,0.49506322858501434,7
2025-07,300442,0.46420188713855237,8
2025-07,600926,0.4506198409272029,9
2025-07,301269,0.3222695662807836,10
2025-08,002736,1.405488552707765,1
2025-08,601336,1.228745111047274,2
2025-08,002384,0.9564351688251211,3
2025-08,688506,0.8514079598508195,4
2025-08,000963,0.8238833533106438,5
2025-08,600515,0.7945498200692599,6
2025-08,000661,0.6628461637209797,7
2025-08,601066,0.5906046850540616,8
2025-08,002422,0.5147501888785431,9
2025-08,601601,0.46186352465112657,10
2025-09,600111,1.7458586961196416,1
2025-09,688303,1.6643621210356245,2
2025-09,002938,1.4460907915094139,3
2025-09,600183,1.4056054738833081,4
2025-09,002916,1.3421969030941259,5
2025-09,300033,1.3360613022383392,6
2025-09,600346,1.2196810873766564,7
2025-09,002736,1.192898577045166,8
2025-09,002384,1.1656139910504275,9
2025-09,302132,0.8987398785501498,10
2025-10,688981,2.103202985428561,1
2025-10,002460,1.9406421951395072,2
2025-10,002709,1.8125843975082496,3
2025-10,688472,1.7259189395453272,4
2025-10,300803,1.522648013914964,5
2025-10,603019,1.4637134245375103,6
2025-10,300502,1.182616202265977,7
2025-10,600176,1.174934782532559,8
2025-10,688047,1.121961155046455,9
2025-10,300308,1.0467069658677666,10
2025-11,688472,2.120820286483183,1
2025-11,300274,2.034307259399772,2
2025-11,002709,1.7217783705268457,3
2025-11,002460,1.6536544517362028,4
2025-11,600515,1.6418216081419508,5
2025-11,300308,1.5977840447340683,6
2025-11,600089,1.5116033641139024,7
2025-11,600183,1.4082656607453305,8
2025-11,000792,1.1683898358943938,9
2025-11,300014,1.1572054933597558,10
2017-10,600522,1.5858931565491505,1
2017-10,600438,1.5668749148404195,2
2017-10,600999,1.2294410084866765,3
2017-10,600176,0.8185597893286329,4
2017-10,600515,0.810776062142872,5
2017-10,600426,0.8093944421444959,6
2017-10,002600,0.7893535980272894,7
2017-10,300308,0.750249834066375,8
2017-10,300502,0.7084053816181596,9
2017-10,601881,0.6069059118127703,10
2017-11,601012,1.3351927479522288,1
2017-11,002384,0.9750738896928977,2
2017-11,000338,0.9676801930925962,3
2017-11,600009,0.8937113091522035,4
2017-11,002600,0.8637847655179481,5
2017-11,600600,0.8334419035947135,6
2017-11,300308,0.7753514519497497,7
2017-11,601100,0.7371624597255861,8
2017-11,300015,0.7234833807443094,9
2017-11,601238,0.7070619516125335,10
2017-12,002049,1.9815255096061444,1
2017-12,300316,1.451415823189408,2
2017-12,601100,1.435118421850581,3
2017-12,600522,1.213156323626507,4
2017-12,603993,0.97701326043681,5
2017-12,300413,0.8733665918789273,6
2017-12,600515,0.7974682102658432,7
2017-12,002625,0.6308595502678105,8
2017-12,000938,0.6288191407254001,9
2017-12,603019,0.5765841881348405,10
